Comp,Epsilon,Material ID,cm0,cm1,cm2,AvgElectron,sTot,pTot,dTot,fTot,NAtom,AvgIonicRad,DevIonicRad,VolumeAverageMass,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
MnWO4,19.3,mp-19407,17130.49153,13638.08762,1320.426915,3.655184924,2,2.666666667,1.5,2.333333333,12,112,32.52691193,475.9029791,50.46234067,61.31954464,3.654203308,2.835,1.89,0.856694228,27.12666667,31.04280414,69.76,0.6362096,6,6.871998003,0.008352883,0.002740933,0.010554909,0.003411306,0,-2.2217429,2.3563,Monoclinic,4.883125392,5.12050263,5.85448006,90,90,91.65787335
BeH8(NF2)2,9,mp-24614,807.851552,222.7801365,222.3660891,2.045589221,1.466666667,1.733333333,0,0,120,34.53333333,82.70458808,158.3335326,8.07225305,7.950171091,0.119036302,2.744666667,2.41,0.817792693,6.917790626,8.314641028,34.01,0.7647388,15,1.630291337,0.045003373,0.01142271,0.07173184,0.022928576,0,-1.65926584,6.648,Orthorhombic,5.98728686,10.77168571,15.29826697,90,90,90
H4BrN,7.1,mp-23675,2837.423968,2249.831258,61.37342412,3.229127495,1.333333333,1.333333333,1.666666667,0,12,31.66666667,99.57520887,235.6794357,16.32383333,28.82737216,0.24678185,2.466666667,0.84,0.377830062,7.904738282,6.315942071,17.29289258,0.4155772,6,2.186521543,0.026079926,0.001363244,0.026975988,0.02186534,0,-0.71302015,4.3113,Tetragonal,4.35176271,5.84676378,5.84676378,90,90,90
H4NCl,6.9,mp-34337,452.5016195,53.04754402,0,2.697958472,1.333333333,1.333333333,0,0,6,29.16666667,95.5238481,146.0045088,8.914833333,12.78095774,0.245829769,2.5,0.96,0.425675933,8.426404949,7.466538322,20.42289258,0.3663517,6,1.524079449,0.026751069,0.000186373,0.027028175,0.026136027,0,-0.865474468,4.9341,Cubic,3.87711457,3.87711457,3.87711457,90,90,90
AsH6NO4,75,mp-703470,2554.537465,1965.148269,158.5874911,2.35372327,1.5,1.833333333,0.833333333,0,24,43,83.69388667,211.3704672,13.24771625,19.86073598,0.159054915,2.681666667,1.26,0.582549473,7.116887045,6.890292262,25.29289258,0.7521041,12,2.262811331,0.037399499,0.007624468,0.050591472,0.018833234,0.035826407,-1.242631435,4.1512,Tetragonal,6.720786293,6.720786293,6.720786293,110.8019578,110.8019578,106.8413246
PH6NO4,15.9,mp-23672,561.7571288,308.537162,92.32570053,2.192765127,1.5,1.833333333,0,0,24,41.83333333,83.57415204,165.9192704,9.585396833,9.499913947,0.158577249,2.6825,1.25,0.581837964,6.711053712,5.55668142,20.42289258,0.6932574,12,1.761370099,0.037633134,0.007371608,0.050667611,0.020529419,0,-1.560464394,5.5064,Tetragonal,6.563576748,6.563576744,6.563576743,105.4705494,111.5078371,111.5078369
H4N2O3,7.3,mp-24834,652.710808,179.522723,153.9273722,2.857847819,1.555555556,2,0,0,72,60.55555556,88.24223115,183.8628918,8.893666667,7.090561771,0.232636509,2.8,1.24,0.55617743,5.438714411,1.198718731,3.092892576,0.4353407,9,1.634427198,0.032037795,0.005185762,0.041832318,0.027525189,0.149514216,-0.91542633,3.2767,Orthorhombic,8.05825241,8.05082665,10.02807179,90,90,90
NaBr,6.29,mp-22916,2546.245523,151.0419817,0,3.30010678,1.5,2.5,5,0,2,147.5,48.5,124.5095181,51.44688464,28.45711536,17.85311722,1.945,2.03,1.015,92.25,70.45,140.9,0.8263928,2,3.120798741,0.001655261,0.000706987,0.002570726,0.000849407,0,-1.586479907,4.0899,Cubic,4.262153862,4.262153865,4.26215387,60.00000004,60.00000002,60.00000003
NaBrO3,5.7,mp-23339,3615.032172,2260.753004,2260.753004,2.814730351,1.8,3.4,2,0,20,140,31.27938618,166.0365759,30.17815386,25.00990948,4.1063656,2.842,2.51,0.973907593,40.044,61.66245717,157.46,0.9087803,5,3.159523702,0.007403446,0.002850437,0.009956852,0.001771104,0,-1.017347884,4.4649,Cubic,6.82000228,6.82000228,6.82000228,90,90,90
NaCN,7.55,mp-30053,231.8856352,127.861977,60.18909226,1.993084949,1.666666667,1.666666667,0,0,6,79,64.44118766,58.40335673,16.33592309,4.77502222,5.046745516,2.173333333,2.11,0.90164048,63.61,70.26576834,155.1,0.8391259,3,1.634790007,0.004156269,0.001668173,0.005965245,0.001597597,0.203470595,-0.306718517,5.0374,Orthorhombic,3.65426575,4.89181867,5.56937192,90,90,90
